TYPE_ETABLISSEMENT_ANNEE_SCOLAIRE;LIBELLE_ETABLISSEMENT;ADRESSE;ARRONDISSEMENT;CODE_INSEE NUMBER;ANNEE_SCOLAIRE;TYPE_ETABLISSEMENT;GEO_SHAPE;GEO_POINT_2D
MATERNELLES (année scolaire 2022/2023);CARDINAL AMETTE (3) MAT;3 PLACE DU CARDINAL AMETTE;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.297107585629458, 48.85093752536021], ""type"": ""Point""}";48.85093752536021, 2.297107585629458
MATERNELLES (année scolaire 2022/2023);PAJOL (11) POLY;11 RUE PAJOL;18ème Ardt;75118;;Polyvalent;"{""coordinates"": [2.3606096722049075, 48.88557045298243], ""type"": ""Point""}";48.88557045298243, 2.3606096722049075
MATERNELLES (année scolaire 2022/2023);ST GERMAIN L'AUXERROIS (6) MAT;6 RUE ST GERMAIN L'AUXERROIS;1er Ardt;75101;2022-2023;Maternelle;"{""coordinates"": [2.345386713065591, 48.85821794704413], ""type"": ""Point""}";48.85821794704413, 2.345386713065591
MATERNELLES (année scolaire 2022/2023);TOURTILLE (39) MAT;39 RUE DE TOURTILLE;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.3805459447107165, 48.8720093929638], ""type"": ""Point""}";48.8720093929638, 2.3805459447107165
MATERNELLES (année scolaire 2022/2023);SOMMERARD (10) MAT;10 RUE DU SOMMERARD;5ème Ardt;75105;2022-2023;Maternelle;"{""coordinates"": [2.34687168682565, 48.849943323831674], ""type"": ""Point""}";48.849943323831674, 2.34687168682565
MATERNELLES (année scolaire 2022/2023);DUSSOUBS (42) POLY;42 RUE DUSSOUBS;2ème Ardt;75102;;Polyvalent;"{""coordinates"": [2.3496943647589115, 48.86716386802309], ""type"": ""Point""}";48.86716386802309, 2.3496943647589115
MATERNELLES (année scolaire 2022/2023);AQUEDUC (39) MAT;39 RUE DE L'AQUEDUC;10ème Ardt;75110;2022-2023;Maternelle;"{""coordinates"": [2.363923017199924, 48.88247900358761], ""type"": ""Point""}";48.88247900358761, 2.363923017199924
MATERNELLES (année scolaire 2022/2023);STEPHEN PICHON (28) MAT;28 AVENUE STEPHEN PICHON;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.3585484855159082, 48.832380595064215], ""type"": ""Point""}";48.832380595064215, 2.3585484855159082
MATERNELLES (année scolaire 2022/2023);JEANNE D'ARC (96) MAT;96 RUE JEANNE D'ARC;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.363384060953663, 48.833702957209915], ""type"": ""Point""}";48.833702957209915, 2.363384060953663
MATERNELLES (année scolaire 2022/2023);ALLERAY (102) MAT;102 RUE D'ALLERAY;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.309558316965856, 48.83621201623922], ""type"": ""Point""}";48.83621201623922, 2.309558316965856
MATERNELLES (année scolaire 2022/2023);PYRENEES (99) MAT;99 RUE DES PYRENEES;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.4052182623020486, 48.85515013612081], ""type"": ""Point""}";48.85515013612081, 2.4052182623020486
MATERNELLES (année scolaire 2022/2023);ESPERANCE (12) MAT;12 RUE DE L'ESPERANCE;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.347942192656153, 48.826775926512816], ""type"": ""Point""}";48.826775926512816, 2.347942192656153
MATERNELLES (année scolaire 2022/2023);BEAUREGARD (5) POLY;5 RUE BEAUREGARD;2ème Ardt;75102;;Polyvalent;"{""coordinates"": [2.3483376284291317, 48.86927024119969], ""type"": ""Point""}";48.86927024119969, 2.3483376284291317
MATERNELLES (année scolaire 2022/2023);JEAN MENANS (2) MAT;2 RUE JEAN MENANS;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.3787114440048027, 48.88105439132377], ""type"": ""Point""}";48.88105439132377, 2.3787114440048027
MATERNELLES (année scolaire 2022/2023);SEPTIEME ART (2-4) MAT;2 COURS DU 7EME ART;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.3879161933665136, 48.87812713450952], ""type"": ""Point""}";48.87812713450952, 2.3879161933665136
MATERNELLES (année scolaire 2022/2023);CONSTANTIN PECQUEUR (1) MAT;1 PLACE CONSTANTIN PECQUEUR;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.337932093180363, 48.88882548893339], ""type"": ""Point""}";48.88882548893339, 2.337932093180363
MATERNELLES (année scolaire 2022/2023);MOUFFETARD (29) MAT;29 RUE MOUFFETARD;5ème Ardt;75105;2022-2023;Maternelle;"{""coordinates"": [2.3494204485428423, 48.843986620495215], ""type"": ""Point""}";48.843986620495215, 2.3494204485428423
MATERNELLES (année scolaire 2022/2023);LEON SCHWARTZENBERG (11) MAT;11 RUE LEON SCHWARTZENBERG;10ème Ardt;75110;2022-2023;Maternelle;"{""coordinates"": [2.355248422695462, 48.87545394335968], ""type"": ""Point""}";48.87545394335968, 2.355248422695462
MATERNELLES (année scolaire 2022/2023);BARBANEGRE (8) MAT;8 RUE BARBANEGRE;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.3833256532117324, 48.892313622547164], ""type"": ""Point""}";48.892313622547164, 2.3833256532117324
MATERNELLES (année scolaire 2022/2023);MILTON (5) POLY;5 RUE MILTON;9ème Ardt;75109;;Polyvalent;"{""coordinates"": [2.340562813126252, 48.87734792111272], ""type"": ""Point""}";48.87734792111272, 2.340562813126252
MATERNELLES (année scolaire 2022/2023);BIDASSOA (21) MAT;21 RUE DE LA BIDASSOA;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.393684942281869, 48.86611785371117], ""type"": ""Point""}";48.86611785371117, 2.393684942281869
MATERNELLES (année scolaire 2022/2023);ALLERAY (42) MAT;42 RUE D'ALLERAY;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.3034313404779265, 48.83670438789997], ""type"": ""Point""}";48.83670438789997, 2.3034313404779265
MATERNELLES (année scolaire 2022/2023);D'ARTAGNAN (12) MAT;12 RUE D'ARTAGNAN;12ème Ardt;75112;2022-2023;Maternelle;"{""coordinates"": [2.3867555122192794, 48.84540652764176], ""type"": ""Point""}";48.84540652764176, 2.3867555122192794
